,date,total_confirmed,new_confirmed,new_confirmed_after_interp_spline,total_deaths,new_deaths,new_death_after_convolve,total_recovered
0,2020-04-13,14328,548,548.0,337,31,31.0,2269.0
1,2020-04-30,27542,1036,1036.0,803,39,39.0,12507.0
2,2020-05-16,45891,1190,1190.0,1356,47,46.99999999999999,25454.0
3,2020-06-01,64744,1699,1699.0000000000002,1753,17,17.0,42423.0
4,2020-06-17,93764,3276,3276.0,2148,51,50.99999999999999,60681.0
5,2020-07-03,180169,7310,7310.0,2694,45,45.0,90720.0
6,2020-07-19,327611,9436,9436.0,4193,129,129.0,169581.0
7,2020-08-04,459256,9279,9279.0,7448,164,163.99999999999997,297422.0
8,2020-08-20,579406,5608,5608.0,11285,243,243.0,424685.0
9,2020-09-05,654952,5988,5988.0,13729,126,125.99999999999999,532223.0
10,2020-09-21,717727,5676,5675.999999999999,15366,43,43.0,609210.0
11,2020-10-07,806225,6432,6432.0,16808,91,90.99999999999997,687277.0
12,2020-10-23,880754,2826,2826.0,17961,17,16.999999999999996,744283.0
13,2020-11-08,1031453,7690,7690.0,19489,103,103.0,811330.0
14,2020-11-24,1210459,8529,8529.000000000002,21395,55,54.99999999999999,917739.0
15,2020-12-10,1428656,14531,14531.0,23930,269,269.0,1062398.0
16,2020-12-26,1664941,3315,3315.0,27051,183,183.00000000000003,1332913.0
17,2021-01-11,1968189,16274,16274.000000000002,30479,166,166.0,1558945.0
18,2021-01-27,2290621,21197,21197.0,35420,330,329.99999999999994,1845210.0
19,2021-02-12,2543236,12176,12175.999999999998,40535,387,387.0,2184719.0
20,2021-02-28,2649363,5900,5900.0,43519,143,143.0,2417585.0
21,2021-03-16,2731814,4352,4352.0,46519,96,96.00000000000001,0.0
22,2021-04-01,2791910,2482,2482.0,48252,10,10.000000000000004,0.0
23,2021-04-17,2847101,3172,3172.0000000000005,49510,69,69.0,0.0
24,2021-05-03,2897110,1300,1300.0,50290,16,15.999999999999996,0.0
25,2021-05-19,2934592,3092,3091.9999999999995,51012,40,39.999999999999986,0.0
26,2021-06-04,2959171,2595,2595.0,51633,58,58.0,0.0
27,2021-06-20,2985388,1752,1752.0000000000002,52098,15,15.000000000000002,0.0
28,2021-07-06,3005221,537,536.9999999999999,52482,0,8.881784197001252e-16,0.0
29,2021-07-22,3057874,8186,8186.0,52904,39,39.0,0.0
30,2021-08-07,3224572,23096,23096.0,53607,69,69.0,0.0
31,2021-08-23,3462334,3274,3273.999999999998,55283,57,57.0,0.0
32,2021-09-08,3727663,19650,19650.0,58638,171,171.0,0.0
33,2021-09-24,3994501,11403,11403.0,63253,452,452.0,0.0
34,2021-10-10,4129189,1070,1069.9999999999998,66986,3,2.999999999999993,0.0
35,2021-10-26,4215539,5073,5073.000000000001,70335,72,72.0,0.0
36,2021-11-11,4273003,3774,3774.0000000000005,72130,19,19.0,0.0
37,2021-11-27,4321097,40,40.0,73605,0,0.0,0.0
